Selecionado;Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;;;
;The evaluation of a social adaptive website for cultural events;User Modeling and User-Adapted Interaction;;23;02/mar;10.1007/s11257-012-9129-9;Cristina GenaFederica CenaFabiana VerneroPierluigi Grillo;2013;http://link.springer.com/article/10.1007/s11257-012-9129-9;Article;;;;;;
;Literature review and prospect of the development and application of FMEA in manufacturing industry;The International Journal of Advanced Manufacturing Technology;;112;05/jun;10.1007/s00170-020-06425-0;Zhongyi WuWeidong LiuWenbin Nie;2021;http://link.springer.com/article/10.1007/s00170-020-06425-0;Article;;;;;;
;Cloud computing in e-Science: research challenges and opportunities;The Journal of Supercomputing;;70;1;10.1007/s11227-014-1251-5;Xiaoyu YangDavid WallomSimon WaddingtonJianwu WangArif ShaonBrian MatthewsMichael WilsonYike GuoLi GuoJon D. BlowerAthanasios V. VasilakosKecheng LiuPhilip Kershaw;2014;http://link.springer.com/article/10.1007/s11227-014-1251-5;Article;;;;;;
;Explication and semantic querying of enterprise information systems;Knowledge and Information Systems;;40;3;10.1007/s10115-013-0650-x;Milan ZdravkovićHervé PanettoMiroslav TrajanovićAlexis Aubry;2014;http://link.springer.com/article/10.1007/s10115-013-0650-x;Article;;;;;;
;Semantic linkages in research information systems as a new data source for scientometric studies;Scientometrics;;98;2;10.1007/s11192-013-1108-3;Sergey ParinovMikhail Kogalovsky;2014;http://link.springer.com/article/10.1007/s11192-013-1108-3;Article;;;;;;
;Extracting rate changes in transcriptional regulation from MEDLINE abstracts;BMC Bioinformatics;;15;2;10.1186/1471-2105-15-S2-S4;Wenting LiuKui MiaoGuangxia LiKuiyu ChangJie ZhengJagath C Rajapakse;2014;http://link.springer.com/article/10.1186/1471-2105-15-S2-S4;Article;;;;;;
;Savanta—search; analysis; visualisation and navigation of temporal annotations;Multimedia Tools and Applications;;40;2;10.1007/s11042-008-0204-5;Jon Olav HauglidJon Heggland;2008;http://link.springer.com/article/10.1007/s11042-008-0204-5;Article;;;;
;A Knowledge-Modeling Approach to Integrate Multiple Clinical Practice Guidelines to Provide Evidence-Based Clinical Decision Support for Managing Comorbid Conditions;Journal of Medical Systems;;41;12;10.1007/s10916-017-0841-1;Samina Abidi;2017;http://link.springer.com/article/10.1007/s10916-017-0841-1;Article;;;;;;
;ECR 2016 Book of Abstracts - B - Scientific Sessions and Clinical Trials in Radiology;Insights into Imaging;;7;1;10.1007/s13244-016-0475-8;;2016;http://link.springer.com/article/10.1007/s13244-016-0475-8;Article;;;;;;
;EANM’14;European Journal of Nuclear Medicine and Molecular Imaging;;41;2;10.1007/s00259-014-2901-9;;2014;http://link.springer.com/article/10.1007/s00259-014-2901-9;Article;;;;;;
;Ontologies for Knowledge Management: An Information Systems Perspective;Knowledge and Information Systems;;6;4;10.1007/s10115-003-0135-4;Igor JurisicaJohn MylopoulosEric Yu;2004;http://link.springer.com/article/10.1007/s10115-003-0135-4;Article;;;;;;
;SMART: Semantic multidimensional group recommendations;Multimedia Tools and Applications;;74;23;10.1007/s11042-014-2174-0;Eya Ben AhmedWafa TebourskiWahiba Ben Abdessalem KaraaFaïez Gargouri;2015;http://link.springer.com/article/10.1007/s11042-014-2174-0;Article;;;;;;
;European Association of Nuclear Medicine October 20-23; 2021 Virtual;European Journal of Nuclear Medicine and Molecular Imaging;;48;1;10.1007/s00259-021-05547-1;;2021;http://link.springer.com/article/10.1007/s00259-021-05547-1;Article;;;;;
;Towards an Internet of Agents model based on Linked Open Data approach;Autonomous Agents and Multi-Agent Systems;;33;01/fev;10.1007/s10458-018-9399-7;Pablo Pico-ValenciaJuan A. Holgado-TerrizaJ. A. Senso;2019;http://link.springer.com/article/10.1007/s10458-018-9399-7;Article;;;;;;
;Semantic-Enhanced Query Expansion System for Retrieving Medical Image Notes;Journal of Medical Systems;;42;6;10.1007/s10916-018-0954-1;Yiqing ZhaoNooshin J. FesharakiXiaohui LiTimothy B. PatrickJake Luo;2018;http://link.springer.com/article/10.1007/s10916-018-0954-1;Article;;;;;;
;The 15th Genomic Standards Consortium meeting;Standards in Genomic Sciences;;8;1;10.4056/sigs.3457;Lynn SchrimlIlene MizrachiPeter SterkDawn FieldLynette HirschmanTatiana TatusovaSusanna SansoneJack GilbertDavid SchindelNeil DaviesChris MeyerFolker MeyerGeorge GarrityLita ProctorM. H. MedemaYemin Lan;2013;http://link.springer.com/article/10.4056/sigs.3457;Article;;;;;;
;Plant developmental genetics: Integrating data from different experiments in databases;Russian Journal of Genetics;;45;11;10.1134/S1022795409110052;N. A. OmelyanchukV. V. MironovaN. A. Kolchanov;2009;http://link.springer.com/article/10.1134/S1022795409110052;Article;;;;;;
;GaiusT: supporting the extraction of rights and obligations for regulatory compliance;Requirements Engineering;;20;1;10.1007/s00766-013-0181-8;Nicola ZeniNadzeya KiyavitskayaLuisa MichJames R. CordyJohn Mylopoulos;2015;http://link.springer.com/article/10.1007/s00766-013-0181-8;Article;;;;;;
;25th Annual Conference of the International Society for Quality of Life Research;Quality of Life Research;;27;1;10.1007/s11136-018-1946-9;;2018;http://link.springer.com/article/10.1007/s11136-018-1946-9;Article;;;;;;
;Modeling and detecting semantic-based interactions in aspect-oriented scenarios;Requirements Engineering;;15;2;10.1007/s00766-010-0098-4;Gunter MussbacherJon WhittleDaniel Amyot;2010;http://link.springer.com/article/10.1007/s00766-010-0098-4;Article;;;;;;
;An error recognition method for power equipment defect records based on knowledge graph technology;Frontiers of Information Technology & Electronic Engineering;;20;11;10.1631/FITEE.1800260;Hui-fang WangZi-quan Liu;2019;http://link.springer.com/article/10.1631/FITEE.1800260;Article;;;;;;
;54th EASD Annual Meeting of the European Association for the Study of Diabetes;Diabetologia;;61;1;10.1007/s00125-018-4693-0;;2018;http://link.springer.com/article/10.1007/s00125-018-4693-0;Article;;;;;;
;Representation; Analysis; and Extraction of Knowledge from Unstructured Natural Language Texts;Cybernetics and Systems Analysis;;57;3;10.1007/s10559-021-00373-7;H. HoherchakN. DarchukS. Kryvyi;2021;http://link.springer.com/article/10.1007/s10559-021-00373-7;Article;;;;
;Knowledge-graph-enabled biomedical entity linking: a survey;World Wide Web;;;;10.1007/s11280-023-01144-4;Jiyun ShiZhimeng YuanWenxuan GuoChen MaJiehao ChenMeihui Zhang;2023;http://link.springer.com/article/10.1007/s11280-023-01144-4;Article;;;;;;
;Capturing Place Semantics on the GeoSocial Web;Journal on Data Semantics;;3;4;10.1007/s13740-014-0034-8;Ehab ElGindyAlia Abdelmoty;2014;http://link.springer.com/article/10.1007/s13740-014-0034-8;Article;;;;;;
;Location awareness-based intelligent multi-agent technology;Multimedia Systems;;16;04/mai;10.1007/s00530-010-0194-9;Jung-Hyun KimHyeong-Joon KwonKwang-Seok Hong;2010;http://link.springer.com/article/10.1007/s00530-010-0194-9;Article;;;;;;
;Formal Ontology and Mathematics. A Case Study on the Identity of Proofs;Topoi;;42;1;10.1007/s11245-022-09864-4;Matteo BianchettiGiorgio Venturi;2023;http://link.springer.com/article/10.1007/s11245-022-09864-4;Article;;;;;;
;An ontology-aware integration of clinical models; terminologies and guidelines: an exploratory study of the Scale for the Assessment and Rating of Ataxia (SARA);BMC Medical Informatics and Decision Making;;17;1;10.1186/s12911-017-0568-4;Haitham MaaroufMaría TaboadaHadriana RodriguezManuel AriasÁngel SesarMaría Jesús Sobrido;2017;http://link.springer.com/article/10.1186/s12911-017-0568-4;Article;;;;;
;Knowledge Engineering Framework for IoT Robotics Applied to Smart Healthcare and Emotional Well-Being;International Journal of Social Robotics;;15;3;10.1007/s12369-021-00821-6;Amelie GyrardKasia TabeauLaura FioriniAntonio KungEloise SengesMarleen De MulFrancesco GiulianiDelphine LefebvreHiroshi HoshinoIsabelle FabbricottiDaniele SancarloGrazia D’OnofrioFilippo CavalloDenis GuiotEstibaliz Arzoz-FernandezYasuo Okabe;2023;http://link.springer.com/article/10.1007/s12369-021-00821-6;Article;;;;;;
;Context-based scene recognition from visual data in smart homes: an Information Fusion approach;Personal and Ubiquitous Computing;;16;7;10.1007/s00779-011-0450-9;Juan Gómez-RomeroMiguel A. SerranoMiguel A. PatricioJesús GarcíaJosé M. Molina;2012;http://link.springer.com/article/10.1007/s00779-011-0450-9;Article;;;;;;
;Broad-coverage biomedical relation extraction with SemRep;BMC Bioinformatics;;21;1;10.1186/s12859-020-3517-7;Halil KilicogluGraciela RosemblatMarcelo FiszmanDongwook Shin;2020;http://link.springer.com/article/10.1186/s12859-020-3517-7;Article;;;;;;
;Computer-supported argumentation: A review of the state of the art;International Journal of Computer-Supported Collaborative Learning;;5;1;10.1007/s11412-009-9080-x;Oliver ScheuerFrank LollNiels PinkwartBruce M. McLaren;2010;http://link.springer.com/article/10.1007/s11412-009-9080-x;Article;;;;;;
;Linking the Resource Description Framework to cheminformatics and proteochemometrics;Journal of Biomedical Semantics;;2;1;10.1186/2041-1480-2-S1-S6;Egon L WillighagenJonathan AlvarssonAnnsofie AnderssonMartin EklundSamuel LampaMaris LapinsOla SpjuthJarl ES Wikberg;2011;http://link.springer.com/article/10.1186/2041-1480-2-S1-S6;Article;;;;;;
;HOMER: A semantically enhanced knowledge management approach in the domain of homemade explosives intelligence;Social Network Analysis and Mining;;7;1;10.1007/s13278-017-0451-4;Dimitrios PappasIraklis Paraskakis;2017;http://link.springer.com/article/10.1007/s13278-017-0451-4;Article;;;;;;
;Detecting User Profiles in Collaborative Ontology Engineering Using a User’s Interactions;Journal on Data Semantics;;6;2;10.1007/s13740-016-0074-3;Sven Van LaereRonald BuylMarc NyssenChristophe Debruyne;2017;http://link.springer.com/article/10.1007/s13740-016-0074-3;Article;;;;;;
;Abstracts from the 2016 Society of General Internal Medicine Annual Meeting;Journal of General Internal Medicine;;31;2;10.1007/s11606-016-3657-7;;2016;http://link.springer.com/article/10.1007/s11606-016-3657-7;Article;;;;;;
;Graph-Enhanced Biomedical Abstractive Summarization Via Factual Evidence Extraction;SN Computer Science;;4;5;10.1007/s42979-023-01867-1;Giacomo FrisoniPaolo ItalianiGianluca MoroIlaria BartoliniMarco Antonio BoschettiAntonella Carbonaro;2023;http://link.springer.com/article/10.1007/s42979-023-01867-1;Article;;;;;;
;User model interoperability: a survey;User Modeling and User-Adapted Interaction;;21;3;10.1007/s11257-011-9097-5;Francesca CarmagnolaFederica CenaCristina Gena;2011;http://link.springer.com/article/10.1007/s11257-011-9097-5;Article;;;;;;
;A discovery system for narrative query graphs: entity-interaction-aware document retrieval;International Journal on Digital Libraries;;;;10.1007/s00799-023-00356-3;Hermann KrollJan PirklbauerJan-Christoph KaloMorris KunzJohannes RuthmannWolf-Tilo Balke;2023;http://link.springer.com/article/10.1007/s00799-023-00356-3;Article;;;;;;
;Faceting the post-disaster built heritage reconstruction process within the digital twin framework for Notre-Dame de Paris;Scientific Reports;;13;1;10.1038/s41598-023-32504-9;Antoine GrosAnaïs GuillemLivio De LucaÉlise BaillieulBenoit DuvocelleOlivier MalavergneLise LerouxThierry Zimmer;2023;http://link.springer.com/article/10.1038/s41598-023-32504-9;Article;;;;;;
;Arabic question answering system: a survey;Artificial Intelligence Review;;55;1;10.1007/s10462-021-10031-1;Tahani H. AlwaneenAqil M. AzmiHatim A. AboalsamhErik CambriaAmir Hussain;2022;http://link.springer.com/article/10.1007/s10462-021-10031-1;Article;;;;;;
;PolyCAFe—automatic support for the polyphonic analysis of CSCL chats;International Journal of Computer-Supported Collaborative Learning;;9;2;10.1007/s11412-014-9190-y;Stefan Trausan-MatuMihai DascaluTraian Rebedea;2014;http://link.springer.com/article/10.1007/s11412-014-9190-y;Article;;;;;;
;Abstracts;Virchows Archiv;;477;1;10.1007/s00428-020-02938-x;;2020;http://link.springer.com/article/10.1007/s00428-020-02938-x;Article;;;;;;
;Social Network-Aware Interfaces as Facilitators of Innovation;Journal of Computer Science and Technology;;27;6;10.1007/s11390-012-1297-x;Elena García-BarriocanalMiguel-Angel SiciliaSalvador Sánchez-Alonso;2012;http://link.springer.com/article/10.1007/s11390-012-1297-x;Article;;;;;;
;HGM 2010 Programme / Abstract;The HUGO Journal;;4;1;10.1007/s11568-010-9143-0;;2010;http://link.springer.com/article/10.1007/s11568-010-9143-0;Article;;;;;;
;A review on Relation Extraction with an eye on Portuguese;Journal of the Brazilian Computer Society;;19;4;10.1007/s13173-013-0116-8;Sandra Collovini de AbreuTiago Luis BonamigoRenata Vieira;2013;http://link.springer.com/article/10.1007/s13173-013-0116-8;Article;;;;;;
;Investigating ADR mechanisms with Explainable AI: a feasibility study with knowledge graph mining;BMC Medical Informatics and Decision Making;;21;1;10.1186/s12911-021-01518-6;Emmanuel BressoPierre MonninCédric BousquetFrançois-Elie CalvierNdeye-Coumba NdiayeNadine PetitpainMalika Smaïl-TabboneAdrien Coulet;2021;http://link.springer.com/article/10.1186/s12911-021-01518-6;Article;;;;;;
;Impact of word embedding models on text analytics in deep learning environment: a review;Artificial Intelligence Review;;56;9;10.1007/s10462-023-10419-1;Deepak Suresh AsudaniNaresh Kumar NagwaniPradeep Singh;2023;http://link.springer.com/article/10.1007/s10462-023-10419-1;Article;;;;;;
;A survey of recent work on video summarization: approaches and techniques;Multimedia Tools and Applications;;80;18;10.1007/s11042-021-10977-y;Vasudha TiwariCharul Bhatnagar;2021;http://link.springer.com/article/10.1007/s11042-021-10977-y;Article;;;;;;
;Mining graphs from travel blogs: a review in the context of tour planning;Information Technology & Tourism;;17;4;10.1007/s40558-017-0095-2;Erum HarisKeng Hoon Gan;2017;http://link.springer.com/article/10.1007/s40558-017-0095-2;Article;;;;;;
;Discovering relations between indirectly connected biomedical concepts;Journal of Biomedical Semantics;;6;1;10.1186/s13326-015-0021-5;Dirk WeissenbornMichael SchroederGeorge Tsatsaronis;2015;http://link.springer.com/article/10.1186/s13326-015-0021-5;Article;;;;;;
;Automatic captioning for medical imaging (MIC): a rapid review of literature;Artificial Intelligence Review;;56;5;10.1007/s10462-022-10270-w;Djamila-Romaissa BeddiarMourad OussalahTapio Seppänen;2023;http://link.springer.com/article/10.1007/s10462-022-10270-w;Article;;;;;;
;Understanding the behaviour of hackers while performing attack tasks in a professional setting and in a public challenge;Empirical Software Engineering;;24;1;10.1007/s10664-018-9625-6;Mariano CeccatoPaolo TonellaCataldo BasilePaolo FalcarinMarco TorchianoBart CoppensBjorn De Sutter;2019;http://link.springer.com/article/10.1007/s10664-018-9625-6;Article;;;;;;
;ReaderBench: Automated evaluation of collaboration based on cohesion and dialogism;International Journal of Computer-Supported Collaborative Learning;;10;4;10.1007/s11412-015-9226-y;Mihai DascaluStefan Trausan-MatuDanielle S. McNamaraPhilippe Dessus;2015;http://link.springer.com/article/10.1007/s11412-015-9226-y;Article;;;;;;
;Abstracts 2007;Diabetologia;;50;1;10.1007/s00125-007-0809-7;;2007;http://link.springer.com/article/10.1007/s00125-007-0809-7;Article;;;;;;
;From conceptual design to performance optimization of ETL workflows: current state of research and open problems;The VLDB Journal;;26;6;10.1007/s00778-017-0477-2;Syed Muhammad Fawad AliRobert Wrembel;2017;http://link.springer.com/article/10.1007/s00778-017-0477-2;Article;;;;;;
;Characterizing industry-academia collaborations in software engineering: evidence from 101 projects;Empirical Software Engineering;;24;4;10.1007/s10664-019-09711-y;Vahid GarousiDietmar PfahlJoão M. FernandesMichael FeldererMika V. MäntyläDavid ShepherdAndrea ArcuriAhmet CoşkunçayBedir Tekinerdogan;2019;http://link.springer.com/article/10.1007/s10664-019-09711-y;Article;;;;;;
;A qualitative study of large-scale recommendation algorithms for biomedical knowledge bases;International Journal on Digital Libraries;;22;2;10.1007/s00799-021-00300-3;Ehsan NoeiTsahi HayatJessica PerrieRecep ÇolakYanqi HaoShankar VembuKelly LyonsSam Molyneux;2021;http://link.springer.com/article/10.1007/s00799-021-00300-3;Article;;;;;;
;A linked open data architecture for the historical archives of the Getulio Vargas Foundation;International Journal on Digital Libraries;;15;02/abr;10.1007/s00799-015-0147-1;Alexandre RademakerDário Augusto Borges OliveiraValeria de PaivaSuemi HiguchiAsla Medeiros e SáMoacyr Alvim;2015;http://link.springer.com/article/10.1007/s00799-015-0147-1;Article;;;;;;
;Learners’ navigation behavior identification based on trace analysis;User Modeling and User-Adapted Interaction;;20;5;10.1007/s11257-010-9081-5;Nabalia BousbiaIssam RebaïJean-Marc LabatAmar Balla;2010;http://link.springer.com/article/10.1007/s11257-010-9081-5;Article;;;;;;
;ConceptNet — A Practical Commonsense Reasoning Tool-Kit;BT Technology Journal;;22;4;10.1023/B:BTTJ.0000047600.45421.6d;H LiuP Singh;2004;http://link.springer.com/article/10.1023/B%3ABTTJ.0000047600.45421.6d;Article;;;;;;
;NET-GE: a novel NETwork-based Gene Enrichment for detecting biological processes associated to Mendelian diseases;BMC Genomics;;16;8;10.1186/1471-2164-16-S8-S6;Pietro Di LenaPier Luigi MartelliPiero FariselliRita Casadio;2015;http://link.springer.com/article/10.1186/1471-2164-16-S8-S6;Article;;;;;;
;34;;;;;;;;;;;;;;;
;DiscoverySpace: an interactive data analysis application;Genome Biology;;8;1;10.1186/gb-2007-8-1-r6;Neil RobertsonMehrdad Oveisi-FordoreiScott D ZuyderduynRichard J VarholChristopher FjellMarco MarraSteven JonesAsim Siddiqui;2007;http://link.springer.com/article/10.1186/gb-2007-8-1-r6;Article;;;;;;
;Information and organization in public health institutes: an ontology-based modeling of the entities in the reception-analysis-report phases;Journal of Biomedical Semantics;;7;1;10.1186/s13326-016-0095-8;Giandomenico PozzaStefano BorgoAlessandro OltramariLaura ContalbrigoStefano Marangon;2016;http://link.springer.com/article/10.1186/s13326-016-0095-8;Article;;;;;;
;Ranking and grouping social media requests for emergency services using serviceability model;Social Network Analysis and Mining;;10;1;10.1007/s13278-020-0633-3;Hemant PurohitCarlos CastilloRahul Pandey;2020;http://link.springer.com/article/10.1007/s13278-020-0633-3;Article;;;;;;
;A quantitative approach to belief revision in structured probabilistic argumentation;Annals of Mathematics and Artificial Intelligence;;76;03/abr;10.1007/s10472-015-9476-4;Gerardo I. SimariPaulo ShakarianMarcelo A. Falappa;2016;http://link.springer.com/article/10.1007/s10472-015-9476-4;Article;;;;;;
;Abstracts of the 48th EASD Annual Meeting of the European Association for the Study of Diabetes;Diabetologia;;55;1;10.1007/s00125-012-2688-9;;2012;http://link.springer.com/article/10.1007/s00125-012-2688-9;Article;;;;;;
;Augmenting natural interaction with physical paper in ambient intelligence environments;Multimedia Tools and Applications;;78;10;10.1007/s11042-018-7088-9;George MargetisStavroula NtoaMargherita AntonaConstantine Stephanidis;2019;http://link.springer.com/article/10.1007/s11042-018-7088-9;Article;;;;;;
;Enhancing the Reuse of Scientific Experiments for Agricultural Software Ecosystems;Journal of Grid Computing;;19;4;10.1007/s10723-021-09583-x;Lenita AmbrósioHeitor LinharesJosé Maria N. DavidRegina BragaWagner ArbexMariana Magalhães CamposRafael Capilla;2021;http://link.springer.com/article/10.1007/s10723-021-09583-x;Article;;;;;;
;Challenges and opportunities in renovating public sector information by enabling linked data and analytics;Information Systems Frontiers;;19;2;10.1007/s10796-016-9687-1;Spiros MouzakitisDimitris PapaspyrosMichael PetychakisSotiris KoussourisAnastasios ZafeiropoulosEleni FotopoulouLena FaridFabrizio OrlandiJudie AttardJohn Psarras;2017;http://link.springer.com/article/10.1007/s10796-016-9687-1;Article;;;;;;
;Exploitation of semantic methods to cluster pharmacovigilance terms;Journal of Biomedical Semantics;;5;1;10.1186/2041-1480-5-18;Marie DupuchLaëtitia DupuchThierry HamonNatalia Grabar;2014;http://link.springer.com/article/10.1186/2041-1480-5-18;Article;;;;;;
;Concept map engineering: methods and tools based on the semantic relation approach;Educational Technology Research and Development;;61;6;10.1007/s11423-013-9316-3;Minkyu Kim;2013;http://link.springer.com/article/10.1007/s11423-013-9316-3;Article;;;;;;
;Automated reasoning using abduction for interpretation of medical signals;Journal of Biomedical Semantics;;5;1;10.1186/2041-1480-5-35;Marjan AlirezaieAmy Loutfi;2014;http://link.springer.com/article/10.1186/2041-1480-5-35;Article;;;;;;
;Towards accurate imputation of quantitative genetic interactions;Genome Biology;;10;12;10.1186/gb-2009-10-12-r140;Igor UlitskyNevan J KroganRon Shamir;2009;http://link.springer.com/article/10.1186/gb-2009-10-12-r140;Article;;;;;;
;IC-SMART: IoTCloud enabled Seamless Monitoring for Alzheimer Diagnosis and Rehabilitation SysTem;Journal of Ambient Intelligence and Humanized Computing;;11;8;10.1007/s12652-019-01534-5;Pankaj Deep KaurPallavi Sharma;2020;http://link.springer.com/article/10.1007/s12652-019-01534-5;Article;;;;;;
;Integrated Bio-Search: challenges and trends for the integration; search and comprehensive processing of biological information;BMC Bioinformatics;;15;1;10.1186/1471-2105-15-S1-S2;Marco MasseroliBarend MonsErik Bongcam-RudloffStefano CeriAlexander KelFrançois RechenmannFrederique LisacekPaolo Romano;2014;http://link.springer.com/article/10.1186/1471-2105-15-S1-S2;Article;;;;;
;Learning with cone-based geometric models and orthologics;Annals of Mathematics and Artificial Intelligence;;90;11/dez;10.1007/s10472-022-09806-1;Mena LeemhuisÖzgür L. ÖzçepDiedrich Wolter;2022;http://link.springer.com/article/10.1007/s10472-022-09806-1;Article;;;;;;
;Personalised Information Retrieval: survey and classification;User Modeling and User-Adapted Interaction;;23;4;10.1007/s11257-012-9124-1;M. Rami GhorabDong ZhouAlexander O’ConnorVincent Wade;2013;http://link.springer.com/article/10.1007/s11257-012-9124-1;Article;;;;;;
;Trustworthy artificial intelligence in Alzheimer’s disease: state of the art; opportunities; and challenges;Artificial Intelligence Review;;;;10.1007/s10462-023-10415-5;Shaker El-SappaghJose M. Alonso-MoralTamer AbuhmedFarman AliAlberto Bugarín-Diz;2023;http://link.springer.com/article/10.1007/s10462-023-10415-5;Article;;;;
;A user-centred evaluation framework for the Sealife semantic web browsers;BMC Bioinformatics;;10;10;10.1186/1471-2105-10-S10-S14;Helen OliverGayo DialloEd de QuinceyDimitra AlexopoulouBianca HabermannPatty KostkovaMichael SchroederSimon JuppKhaled KhelifRobert StevensGawesh JawaheerGemma Madle;2009;http://link.springer.com/article/10.1186/1471-2105-10-S10-S14;Article;;;;;;
;A review on method entities in the academic literature: extraction; evaluation; and application;Scientometrics;;127;5;10.1007/s11192-022-04332-7;Yuzhuo WangChengzhi ZhangKai Li;2022;http://link.springer.com/article/10.1007/s11192-022-04332-7;Article;;;;
;BROAD-RSI – educational recommender system using social networks interactions and linked data;Journal of Internet Services and Applications;;9;1;10.1186/s13174-018-0076-5;Crystiam Kelle PereiraFernanda CamposVictor StröeleJosé Maria N. DavidRegina Braga;2018;http://link.springer.com/article/10.1186/s13174-018-0076-5;Article;;;;;;
;Abstracts;Virchows Archiv;;475;1;10.1007/s00428-019-02631-8;;2019;http://link.springer.com/article/10.1007/s00428-019-02631-8;Article;;;;;;
;ALOHA: developing an interactive graph-based visualization for dietary supplement knowledge graph through user-centered design;BMC Medical Informatics and Decision Making;;19;4;10.1186/s12911-019-0857-1;Xing HeRui ZhangRubina RizviJake VasilakesXi YangYi GuoZhe HeMattia ProsperiJinhai HuoJordan AlpertJiang Bian;2019;http://link.springer.com/article/10.1186/s12911-019-0857-1;Article;;;;;;
;A knowledge-based system for quality analysis in model-based design;Journal of Intelligent Manufacturing;;31;6;10.1007/s10845-020-01535-8;Wei YangChaofan FuXiaoguang YanZhuoning Chen;2020;http://link.springer.com/article/10.1007/s10845-020-01535-8;Article;;;;;;
;Architecture and Evaluation of an Advanced Legal Information Platform—Enhancing Productivity of Modern Legal Work;Journal of the Knowledge Economy;;;;10.1007/s13132-023-01415-5;Charalampos AlexopoulosEuripidis LoukisShefali Virkar;2023;http://link.springer.com/article/10.1007/s13132-023-01415-5;Article;;;;;;
;Towards a wider perspective in the social sciences using a network of variables based on thousands of results;Scientometrics;;123;3;10.1007/s11192-020-03446-0;Maayan Zhitomirsky-GeffetOfer BergmanShir Hilel;2020;http://link.springer.com/article/10.1007/s11192-020-03446-0;Article;;;;;;
;Development and implementation of clinical guidelines: An artificial intelligence perspective;Artificial Intelligence Review;;42;4;10.1007/s10462-013-9402-2;Tiago OliveiraPaulo NovaisJosé Neves;2014;http://link.springer.com/article/10.1007/s10462-013-9402-2;Article;;;;;;
;Visual requirements analytics: a framework and case study;Requirements Engineering;;19;3;10.1007/s00766-013-0194-3;Sandeep ReddivariShirin RadTanmay BhowmikNisreen CainNan Niu;2014;http://link.springer.com/article/10.1007/s00766-013-0194-3;Article;;;;;;
;Path2Models: large-scale generation of computational models from biochemical pathway maps;BMC Systems Biology;;7;1;10.1186/1752-0509-7-116;Finja BüchelNicolas RodriguezNeil SwainstonClemens WrzodekTobias CzaudernaRoland KellerFlorian MittagMichael SchubertMihai GlontMartin GolebiewskiMartijn van IerselSarah KeatingMatthias RallMichael WybrowHenning HermjakobMichael Hucka;2013;http://link.springer.com/article/10.1186/1752-0509-7-116;Article;;;;;;
;Text summarisation in progress: a literature review;Artificial Intelligence Review;;37;1;10.1007/s10462-011-9216-z;Elena LloretManuel Palomar;2012;http://link.springer.com/article/10.1007/s10462-011-9216-z;Article;;;;;;
;Recent automatic text summarization techniques: a survey;Artificial Intelligence Review;;47;1;10.1007/s10462-016-9475-9;Mahak GambhirVishal Gupta;2017;http://link.springer.com/article/10.1007/s10462-016-9475-9;Article;;;;;;
;A survey of visual analytics techniques for machine learning;Computational Visual Media;;7;1;10.1007/s41095-020-0191-7;Jun YuanChangjian ChenWeikai YangMengchen LiuJiazhi XiaShixia Liu;2021;http://link.springer.com/article/10.1007/s41095-020-0191-7;Article;;;;;;
;Formal semantic conflict detection in aspect-oriented requirements;Requirements Engineering;;14;4;10.1007/s00766-009-0083-y;Nathan WestonRuzanna ChitchyanAwais Rashid;2009;http://link.springer.com/article/10.1007/s00766-009-0083-y;Article;;;;;;
;Abstracts from the Human Genome Meeting 2018;Human Genomics;;12;1;10.1186/s40246-018-0138-6;;2018;http://link.springer.com/article/10.1186/s40246-018-0138-6;Article;;;;;;
;Artificial Intelligence in Drug Discovery: A Comprehensive Review of Data-driven and Machine Learning Approaches;Biotechnology and Bioprocess Engineering;;25;6;10.1007/s12257-020-0049-y;Hyunho KimEunyoung KimIngoo LeeBongsung BaeMinsu ParkHojung Nam;2020;http://link.springer.com/article/10.1007/s12257-020-0049-y;Article;;;;;;
;A survey on provenance: What for? What form? What from?;The VLDB Journal;;26;6;10.1007/s00778-017-0486-1;Melanie HerschelRalf DiestelkämperHoussem Ben Lahmar;2017;http://link.springer.com/article/10.1007/s00778-017-0486-1;Article;;;;;;
;Position of the AI for Health Imaging (AI4HI) network on metadata models for imaging biobanks;European Radiology Experimental;;6;1;10.1186/s41747-022-00281-1;Haridimos KondylakisEsther CiarrocchiLeonor Cerda-AlberichIoanna ChouvardaLauren A. FromontJose Manuel Garcia-AznarVarvara KalokyriAlexandra KosvyraDawn WalkerGuang YangEmanuele Neri;2022;http://link.springer.com/article/10.1186/s41747-022-00281-1;Article;;;;;;
;A comprehensive review of global alignment of multiple biological networks: background; applications and open issues;Network Modeling Analysis in Health Informatics and Bioinformatics;;11;1;10.1007/s13721-022-00353-7;M. N. GirishaVeena P. BadigerSantosh Pattar;2022;http://link.springer.com/article/10.1007/s13721-022-00353-7;Article;;;;;
;The LRA Workbench: an IDE for efficient REST API composition through linked metadata;Journal of Big Data;;8;1;10.1186/s40537-021-00504-z;Diego SerranoEleni Stroulia;2021;http://link.springer.com/article/10.1186/s40537-021-00504-z;Article;;;;;;
;19th ISoP Annual Meeting “New Opportunities for New Generations” Bogotá; Colombia; 26–29 October;2019;Drug Safety;;42;10;10.1007/s40264-019-00855-w;;2019;http://link.springer.com/article/10.1007/s40264-019-00855-w;Article;;;
